index,forest_length,likelihood,prior,posterior,leaves
701,0.634359,-2189.12,-13.9409,-2203.06,"{t1|t2|t4}|{t3}"
702,1.05005,-2336.53,-13.9324,-2350.47,"{t3|t4}|{t1|t2}"
703,1.17331,-2549.49,-13.9342,-2563.42,"{t1|t3|t4}|{t2}"
704,1.084,-2552.79,-13.9253,-2566.72,"{t1|t3|t4}|{t2}"
705,1.03857,-2552.95,-13.9221,-2566.87,"{t1|t3|t4}|{t2}"
706,1.18573,-2549.52,-13.9372,-2563.45,"{t1|t3|t4}|{t2}"
707,1.10644,-2553.04,-13.928,-2566.96,"{t1|t3|t4}|{t2}"
708,1.0088,-2336.32,-13.937,-2350.26,"{t3|t4}|{t1|t2}"
709,0.995907,-2336.2,-13.9263,-2350.13,"{t3|t4}|{t1|t2}"
710,1.12936,-2549.85,-13.9307,-2563.79,"{t1|t3|t4}|{t2}"
711,1.03367,-2336.67,-13.9311,-2350.6,"{t3|t4}|{t1|t2}"
712,0.929416,-2337.02,-13.9235,-2350.95,"{t3|t4}|{t1|t2}"
713,0.89141,-2450.46,-13.9289,-2464.39,"{t2|t3|t4}|{t1}"
714,0.856928,-2450.03,-13.9213,-2463.96,"{t2|t3|t4}|{t1}"
715,1.10665,-2338.37,-13.9419,-2352.31,"{t3|t4}|{t1|t2}"
716,1.02591,-2336.26,-13.9318,-2350.19,"{t3|t4}|{t1|t2}"
717,0.994181,-2324.33,-13.9363,-2338.27,"{t1|t2|t3}|{t4}"
718,0.551573,-2189.48,-13.92,-2203.4,"{t1|t2|t4}|{t3}"
719,0.939005,-2448.69,-13.9253,-2462.62,"{t2|t3|t4}|{t1}"
720,1.06973,-2551.39,-13.9244,-2565.31,"{t1|t3|t4}|{t2}"
721,0.563604,-2188.34,-13.9235,-2202.26,"{t1|t2|t4}|{t3}"
722,0.914606,-2322.44,-13.9242,-2336.36,"{t1|t2|t3}|{t4}"
723,1.09029,-2550.56,-13.9269,-2564.49,"{t1|t3|t4}|{t2}"
724,0.574364,-2188.34,-13.9261,-2202.27,"{t1|t2|t4}|{t3}"
725,1.01127,-2447.07,-13.94,-2461.01,"{t2|t3|t4}|{t1}"
726,0.907076,-2449.21,-13.9251,-2463.14,"{t2|t3|t4}|{t1}"
727,0.879914,-2450.32,-13.9213,-2464.24,"{t2|t3|t4}|{t1}"
728,0.606376,-2188.66,-13.9289,-2202.59,"{t1|t2|t4}|{t3}"
729,0.544435,-2189.3,-13.9309,-2203.23,"{t1|t2|t4}|{t3}"
730,0.925113,-2337.1,-13.9215,-2351.02,"{t3|t4}|{t1|t2}"
731,1.13343,-2550.21,-13.9316,-2564.14,"{t1|t3|t4}|{t2}"
732,0.48087,-2192.37,-13.9272,-2206.3,"{t1|t2|t4}|{t3}"
733,0.574082,-2188.59,-13.9303,-2202.52,"{t1|t2|t4}|{t3}"
734,0.890972,-2447.81,-13.9241,-2461.73,"{t2|t3|t4}|{t1}"
735,1.05196,-2336.33,-13.9336,-2350.26,"{t3|t4}|{t1|t2}"
736,0.858661,-2449.15,-13.9224,-2463.08,"{t2|t3|t4}|{t1}"
737,0.54956,-2188.74,-13.9275,-2202.66,"{t1|t2|t4}|{t3}"
738,0.961165,-2330.56,-13.9355,-2344.5,"{t1|t2|t3}|{t4}"
739,1.02564,-2447.44,-13.9379,-2461.38,"{t2|t3|t4}|{t1}"
740,1.07436,-2550.63,-13.9234,-2564.56,"{t1|t3|t4}|{t2}"
741,0.610035,-2189,-13.9389,-2202.93,"{t1|t2|t4}|{t3}"
742,0.932917,-2322.72,-13.9336,-2336.65,"{t1|t2|t3}|{t4}"
743,0.842395,-2450.13,-13.9199,-2464.05,"{t2|t3|t4}|{t1}"
744,0.902973,-2325.3,-13.93,-2339.23,"{t1|t2|t3}|{t4}"
745,0.891154,-2448.41,-13.9228,-2462.33,"{t2|t3|t4}|{t1}"
746,0.947399,-2338.53,-13.9237,-2352.46,"{t3|t4}|{t1|t2}"
747,0.54675,-2190.17,-13.9329,-2204.11,"{t1|t2|t4}|{t3}"
748,0.886889,-2323.12,-13.9286,-2337.05,"{t1|t2|t3}|{t4}"
749,1.13389,-2549.81,-13.9298,-2563.74,"{t1|t3|t4}|{t2}"
750,1.09627,-2550.37,-13.9261,-2564.3,"{t1|t3|t4}|{t2}"
