index,forest_length,likelihood,prior,posterior,leaves
460,0.86063,-2450.11,-13.9212,-2464.03,"{t2|t3|t4}|{t1}"
461,0.871864,-2448.62,-13.9233,-2462.55,"{t2|t3|t4}|{t1}"
462,0.862153,-2448.79,-13.923,-2462.71,"{t2|t3|t4}|{t1}"
463,1.06307,-2551.09,-13.9219,-2565.02,"{t1|t3|t4}|{t2}"
464,1.01805,-2336.46,-13.9336,-2350.4,"{t3|t4}|{t1|t2}"
465,0.899668,-2447.58,-13.923,-2461.5,"{t2|t3|t4}|{t1}"
466,0.945091,-2556.09,-13.9127,-2570,"{t1|t3|t4}|{t2}"
467,0.856086,-2324,-13.9246,-2337.92,"{t1|t2|t3}|{t4}"
468,0.93486,-2447.53,-13.9267,-2461.46,"{t2|t3|t4}|{t1}"
469,0.558723,-2188.91,-13.9356,-2202.84,"{t1|t2|t4}|{t3}"
470,0.882962,-2448.9,-13.9223,-2462.83,"{t2|t3|t4}|{t1}"
471,1.0077,-2553.38,-13.9196,-2567.3,"{t1|t3|t4}|{t2}"
472,0.946047,-2322.12,-13.9318,-2336.05,"{t1|t2|t3}|{t4}"
473,0.591927,-2188.63,-13.9192,-2202.55,"{t1|t2|t4}|{t3}"
474,0.999439,-2446.96,-13.9355,-2460.9,"{t2|t3|t4}|{t1}"
475,1.07978,-2550.61,-13.925,-2564.53,"{t1|t3|t4}|{t2}"
476,0.870409,-2448.67,-13.923,-2462.59,"{t2|t3|t4}|{t1}"
477,0.981545,-2557.02,-13.9169,-2570.94,"{t1|t3|t4}|{t2}"
478,0.609166,-2189.25,-13.9215,-2203.17,"{t1|t2|t4}|{t3}"
479,0.515475,-2192.59,-13.9359,-2206.53,"{t1|t2|t4}|{t3}"
480,1.06959,-2551.21,-13.9239,-2565.14,"{t1|t3|t4}|{t2}"
481,1.10657,-2553.34,-13.9283,-2567.27,"{t1|t3|t4}|{t2}"
482,0.530711,-2190.11,-13.9259,-2204.03,"{t1|t2|t4}|{t3}"
483,0.624429,-2188.8,-13.9297,-2202.73,"{t1|t2|t4}|{t3}"
484,0.909365,-2448.57,-13.9225,-2462.49,"{t2|t3|t4}|{t1}"
485,0.943947,-2448.6,-13.9317,-2462.53,"{t2|t3|t4}|{t1}"
486,1.07493,-2324.46,-13.9445,-2338.4,"{t1|t2|t3}|{t4}"
487,0.957848,-2324,-13.9291,-2337.93,"{t1|t2|t3}|{t4}"
488,0.949272,-2336.99,-13.922,-2350.91,"{t3|t4}|{t1|t2}"
489,0.884094,-2451.04,-13.9205,-2464.96,"{t2|t3|t4}|{t1}"
490,0.872687,-2338.94,-13.9225,-2352.87,"{t3|t4}|{t1|t2}"
491,0.878433,-2323.12,-13.9315,-2337.05,"{t1|t2|t3}|{t4}"
492,0.899399,-2323.72,-13.9211,-2337.64,"{t1|t2|t3}|{t4}"
493,0.847179,-2323.88,-13.9203,-2337.8,"{t1|t2|t3}|{t4}"
494,0.931652,-2447.59,-13.9291,-2461.52,"{t2|t3|t4}|{t1}"
495,0.868555,-2325.76,-13.92,-2339.68,"{t1|t2|t3}|{t4}"
496,1.00627,-2336.19,-13.9298,-2350.12,"{t3|t4}|{t1|t2}"
497,1.0458,-2551.91,-13.9227,-2565.83,"{t1|t3|t4}|{t2}"
498,0.603196,-2188.4,-13.9338,-2202.33,"{t1|t2|t4}|{t3}"
499,0.960658,-2447.8,-13.932,-2461.73,"{t2|t3|t4}|{t1}"
500,0.882452,-2323.04,-13.9204,-2336.96,"{t1|t2|t3}|{t4}"
501,0.513934,-2191.19,-13.9212,-2205.11,"{t1|t2|t4}|{t3}"
502,0.528656,-2188.98,-13.9243,-2202.9,"{t1|t2|t4}|{t3}"
503,0.949214,-2338.4,-13.9216,-2352.32,"{t3|t4}|{t1|t2}"
504,1.13039,-2552.43,-13.9316,-2566.36,"{t1|t3|t4}|{t2}"
505,1.08245,-2551.64,-13.9261,-2565.56,"{t1|t3|t4}|{t2}"
506,0.593789,-2188.57,-13.9277,-2202.5,"{t1|t2|t4}|{t3}"
507,0.862267,-2323.52,-13.9281,-2337.45,"{t1|t2|t3}|{t4}"
508,0.955036,-2336.49,-13.9254,-2350.41,"{t3|t4}|{t1|t2}"
509,0.914591,-2323.13,-13.9273,-2337.06,"{t1|t2|t3}|{t4}"
510,0.514079,-2190.06,-13.9238,-2203.98,"{t1|t2|t4}|{t3}"
511,1.06548,-2551.23,-13.923,-2565.15,"{t1|t3|t4}|{t2}"
512,0.875538,-2450.58,-13.9238,-2464.51,"{t2|t3|t4}|{t1}"
