index,forest_length,likelihood,prior,posterior,merged_leaves
798,1.04707,-2337.39,-4.61409,-2342,4
799,1.09032,-1857.53,-2.30335,-1859.84,3
800,0.181759,-1025.59,-2.31108,-1027.9,2
801,0.599417,-1497.52,-2.33742,-1499.86,3
802,0.543504,-1497.21,-2.33305,-1499.54,3
803,1.06863,-1858.31,-2.30473,-1860.62,3
804,0.974287,-1631.32,-2.314,-1633.63,3
805,1.10907,-2340.77,-4.62104,-2345.39,4
806,0.485556,-1498.53,-2.33455,-1500.86,3
807,0.883009,-1630.36,-2.31382,-1632.68,3
808,0.959461,-1754.73,-2.31024,-1757.04,3
809,1.07236,-1755.05,-2.31209,-1757.36,3
810,0.223535,-1025.48,-2.32016,-1027.8,2
811,0.923196,-1630.33,-2.31247,-1632.64,3
812,1.01224,-1860.14,-2.30351,-1862.45,3
813,1.09379,-2337.05,-4.61332,-2341.67,4
814,1.10701,-1857.73,-2.30343,-1860.03,3
815,0.538858,-1495.97,-2.32761,-1498.3,3
816,0.880356,-1631.34,-2.31555,-1633.65,3
817,0.937418,-1754.23,-2.30969,-1756.54,3
818,0.932772,-1757.82,-2.31307,-1760.14,3
819,1.03337,-1754.73,-2.3123,-1757.05,3
820,0.946121,-1633.59,-2.31345,-1635.9,3
821,0.621893,-1496.9,-2.32991,-1499.23,3
822,0.820676,-2341.05,-4.61783,-2345.67,4
823,0.921861,-1629.78,-2.31354,-1632.09,3
824,0.531376,-1495.85,-2.33261,-1498.19,3
825,0.95759,-1754.69,-2.31188,-1757,3
826,0.540322,-1496.04,-2.32937,-1498.37,3
827,0.941852,-1754.43,-2.31282,-1756.75,3
828,0.573847,-1495.49,-2.3346,-1497.83,3
829,0.604217,-1497.78,-2.33476,-1500.11,3
830,0.958734,-1754.34,-2.31077,-1756.65,3
831,0.216245,-1025.26,-2.3207,-1027.58,2
832,0.160744,-1027.21,-2.3183,-1029.53,2
833,1.15441,-1856.62,-2.30316,-1858.92,3
834,0.954158,-1753.95,-2.31348,-1756.27,3
835,0.535955,-1498.33,-2.33081,-1500.67,3
836,0.580507,-1496.54,-2.3342,-1498.88,3
837,0.957912,-2337.6,-4.6195,-2342.22,4
838,0.909239,-2337.31,-4.62538,-2341.94,4
839,0.888938,-1630.26,-2.3124,-1632.57,3
840,0.851032,-1631.29,-2.31845,-1633.6,3
841,0.534862,-1495.67,-2.32736,-1498,3
842,0.964991,-1630.61,-2.31473,-1632.93,3
843,0.989286,-2336.35,-4.61778,-2340.97,4
844,0.894398,-1630.02,-2.3169,-1632.34,3
845,0.598205,-1498.12,-2.3293,-1500.45,3
846,0.912674,-1631.46,-2.31067,-1633.77,3
847,1.02728,-2336.19,-4.62004,-2340.81,4
848,0.909946,-1754.95,-2.30963,-1757.26,3
849,0.85723,-2339.86,-4.62308,-2344.48,4
850,0.822847,-1631.62,-2.31155,-1633.93,3
851,0.934434,-1754.9,-2.31207,-1757.21,3
852,1.02986,-1631.07,-2.31093,-1633.38,3
853,0.200778,-1025.1,-2.31921,-1027.42,2
854,0.626212,-1496.2,-2.33098,-1498.53,3
855,0.191061,-1025.25,-2.31848,-1027.57,2
856,0.950198,-1754.61,-2.31217,-1756.92,3
857,0.90563,-1755.41,-2.31119,-1757.72,3
858,0.536013,-1497.14,-2.32871,-1499.47,3
859,0.200276,-1025.11,-2.31516,-1027.42,2
860,0.881697,-1756.74,-2.31402,-1759.05,3
861,0.176838,-1025.86,-2.31817,-1028.18,2
862,0.944564,-1753.9,-2.31153,-1756.22,3
863,0.96904,-2336.39,-4.62158,-2341.02,4
864,0.92285,-1754.82,-2.31099,-1757.13,3
865,0.56456,-1496.98,-2.33258,-1499.31,3
866,0.982533,-1753.9,-2.31282,-1756.21,3
867,0.978609,-1630.55,-2.31262,-1632.86,3
868,0.590941,-1495.97,-2.32952,-1498.3,3
869,0.211519,-1025.16,-2.32613,-1027.49,2
870,0.971786,-1753.84,-2.3118,-1756.15,3
871,0.579768,-1497.11,-2.3335,-1499.45,3
872,0.26017,-1027.78,-2.31515,-1030.09,2
873,0.180967,-1025.63,-2.31427,-1027.95,2
874,0.817458,-1632.45,-2.31188,-1634.76,3
875,1.05781,-2337.19,-4.61684,-2341.81,4
876,0.534091,-1495.73,-2.33336,-1498.06,3
877,0.962735,-1631.9,-2.31214,-1634.21,3
878,0.84639,-1631.52,-2.31295,-1633.84,3
879,0.553961,-1495.46,-2.33228,-1497.8,3
880,1.00218,-2336.2,-4.61881,-2340.82,4
881,0.540173,-1496.47,-2.33019,-1498.8,3
882,0.855095,-1630.55,-2.31357,-1632.87,3
883,1.06941,-2337.12,-4.61707,-2341.73,4
884,1.04758,-2336.38,-4.61559,-2340.99,4
885,0.863458,-1630.1,-2.31435,-1632.41,3
886,0.835518,-1630.71,-2.31443,-1633.03,3
887,1.10869,-1859.52,-2.30306,-1861.83,3
888,0.211753,-1025.17,-2.31527,-1027.48,2
889,0.607062,-1495.35,-2.32615,-1497.68,3
890,0.19687,-1025.14,-2.31555,-1027.45,2
891,0.218253,-1025.31,-2.32051,-1027.63,2
892,0.58438,-1495.36,-2.33046,-1497.69,3
893,0.980771,-2338.84,-4.61901,-2343.46,4
894,0.184619,-1025.46,-2.31713,-1027.78,2
