index,forest_length,likelihood,prior,posterior,leaves
45,3.28847,-5323.52,-41.7881,-5365.31,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
46,3.294,-5043.08,-41.7994,-5084.88,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
47,3.04975,-5050.22,-41.7847,-5092.01,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
48,3.27545,-5139.78,-41.8001,-5181.58,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
49,3.17579,-5152.84,-41.7822,-5194.63,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
50,3.27835,-5109.33,-41.8042,-5151.13,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
51,3.34574,-5146.38,-41.7972,-5188.17,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
52,3.24904,-5318.61,-41.7825,-5360.4,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
53,3.17913,-5143.2,-41.7841,-5184.99,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
54,3.47757,-5450.59,-41.7952,-5492.38,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
55,3.39862,-5056.88,-41.7977,-5098.68,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
56,3.32971,-5361.33,-41.7857,-5403.12,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
57,3.15885,-5314.84,-41.7747,-5356.62,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
58,3.2155,-5144,-41.7863,-5185.78,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
59,3.30557,-5041.21,-41.7904,-5083,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
60,3.33894,-5320.01,-41.7931,-5361.8,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
61,3.00845,-5007.64,-41.7805,-5049.42,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
62,3.30832,-5097.53,-41.7924,-5139.32,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
63,2.95607,-5046.7,-41.7592,-5088.46,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
