index,forest_length,likelihood,prior,posterior,leaves
707,3.35851,-5374.36,-41.7892,-5416.15,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
708,2.9176,-5000.91,-41.7764,-5042.69,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
709,3.33162,-5038.65,-41.7986,-5080.45,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
710,2.9379,-5006.2,-41.777,-5047.98,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
711,2.9725,-5115.79,-41.7663,-5157.55,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
712,3.01594,-5116.27,-41.7741,-5158.05,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
713,3.1316,-5050.32,-41.7997,-5092.12,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
714,3.47161,-5089.06,-41.8058,-5130.87,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
715,2.97198,-5002.37,-41.7897,-5044.16,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
716,2.93451,-5115.61,-41.7648,-5157.38,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
717,3.41725,-5461.41,-41.7902,-5503.2,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
718,3.61302,-5124.77,-41.8111,-5166.58,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
719,3.42119,-5230.69,-41.8027,-5272.49,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
720,2.92227,-5004.24,-41.7782,-5046.02,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
721,3.40816,-5126.04,-41.8009,-5167.84,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
722,3.29908,-5360.24,-41.7836,-5402.02,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
723,3.41573,-5277.82,-41.7923,-5319.62,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
724,3.0969,-5100.93,-41.7819,-5142.71,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
725,3.09451,-5051.84,-41.789,-5093.63,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
726,2.89493,-5053.6,-41.7686,-5095.36,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
727,3.46865,-5273.61,-41.7995,-5315.4,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
728,3.30996,-5118.36,-41.7829,-5160.14,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
729,3.32411,-5119.44,-41.7874,-5161.23,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
730,3.70081,-5034.24,-41.8387,-5076.08,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
731,3.44594,-5374.95,-41.7935,-5416.74,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
732,3.42879,-5121.72,-41.7924,-5163.51,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
733,3.1273,-5121.5,-41.7659,-5163.27,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
734,3.14567,-5052.82,-41.794,-5094.62,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
735,3.25527,-5036.36,-41.7812,-5078.14,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
736,3.26877,-5093.99,-41.7857,-5135.78,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
737,3.13622,-5113.84,-41.7869,-5155.63,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
738,3.44501,-5356.68,-41.7945,-5398.48,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
739,3.25172,-5233.87,-41.79,-5275.66,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
740,3.16634,-5277.51,-41.7712,-5319.28,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
741,3.29549,-5100.02,-41.7958,-5141.82,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
742,3.29437,-5453.83,-41.7776,-5495.61,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
743,3.36003,-5025.62,-41.8012,-5067.42,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
744,3.36812,-5356.39,-41.791,-5398.19,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
745,3.08144,-5028.08,-41.7722,-5069.85,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
746,2.54744,-4930.1,-41.7731,-4971.87,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
747,3.18966,-5101.83,-41.7848,-5143.62,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
748,3.27095,-5454.87,-41.7746,-5496.64,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
749,3.00901,-5003.31,-41.7902,-5045.1,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
750,3.45975,-5279.77,-41.7977,-5321.56,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
751,2.51464,-4931.2,-41.764,-4972.96,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
752,3.4462,-5142.17,-41.8093,-5183.98,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
753,2.89401,-5121.31,-41.7654,-5163.07,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
754,2.94834,-5043.73,-41.7587,-5085.49,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
755,3.1676,-5087.52,-41.7772,-5129.3,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
756,3.16718,-5039.67,-41.77,-5081.44,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
757,3.37304,-5087.16,-41.8006,-5128.97,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
758,3.43755,-5374.6,-41.7936,-5416.4,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
759,3.20054,-5142.59,-41.7846,-5184.37,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
760,3.11471,-5234.88,-41.7757,-5276.65,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
761,2.78,-5056.16,-41.7575,-5097.92,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
762,3.06517,-5051.07,-41.7861,-5092.85,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
763,3.14654,-5056.96,-41.7831,-5098.74,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
764,3.25286,-5121.17,-41.7761,-5162.95,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
765,3.20669,-5091.18,-41.7837,-5132.97,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
766,3.47036,-5375.78,-41.7967,-5417.57,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
767,3.58241,-5052.93,-41.8054,-5094.73,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
768,3.50228,-5056.24,-41.7975,-5098.04,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
769,3.37556,-5377.68,-41.7873,-5419.46,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
770,3.2475,-5052.61,-41.7893,-5094.4,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
771,3.2579,-5025.79,-41.795,-5067.59,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
772,2.53303,-4928.25,-41.7801,-4970.03,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
773,3.25317,-5104.43,-41.7837,-5146.21,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
774,3.10681,-5241.84,-41.7715,-5283.61,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
775,3.27979,-5376.82,-41.7803,-5418.6,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
776,3.39609,-5453.27,-41.7889,-5495.06,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
777,3.34588,-5142.74,-41.7981,-5184.54,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
778,3.03917,-5094.67,-41.7653,-5136.44,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
779,3.14833,-5237.05,-41.7797,-5278.83,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
780,3.15066,-5376.58,-41.766,-5418.35,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
781,2.66551,-4927.89,-41.7843,-4969.68,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
782,3.12393,-5113.46,-41.7794,-5155.24,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
783,3.19016,-5282.15,-41.7735,-5323.93,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
784,3.39026,-5274.27,-41.7929,-5316.06,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
785,3.09353,-5055.16,-41.7942,-5096.95,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
786,3.37431,-5458.85,-41.7841,-5500.63,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
787,3.37229,-5374.77,-41.7882,-5416.56,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
788,3.09566,-5009.6,-41.7968,-5051.39,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
789,3.35115,-5317.96,-41.7933,-5359.76,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
790,3.08715,-5142.49,-41.7738,-5184.26,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
791,3.22877,-5357.13,-41.7799,-5398.91,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
792,3.30893,-5236.88,-41.7927,-5278.67,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
793,3.33247,-5360.23,-41.7869,-5402.01,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
794,2.57659,-4931.12,-41.7977,-4972.92,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
795,3.17761,-5114.42,-41.787,-5156.21,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
796,2.99229,-5053.69,-41.7779,-5095.47,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
797,3.17684,-5101.57,-41.7852,-5143.35,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
798,2.91253,-5032.58,-41.7606,-5074.34,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
799,3.31828,-5373.44,-41.7831,-5415.22,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
800,3.37818,-5121.76,-41.7864,-5163.55,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
801,2.67576,-4927.75,-41.8086,-4969.56,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
802,3.18244,-5117.59,-41.7891,-5159.38,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
803,3.16171,-5054.58,-41.7769,-5096.36,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
804,3.28178,-5450.77,-41.7757,-5492.55,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
805,2.92679,-5051.64,-41.776,-5093.41,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
806,2.57717,-4928.11,-41.7916,-4969.91,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
807,3.10797,-5091.88,-41.7759,-5133.65,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
808,3.06032,-5242.92,-41.7661,-5284.68,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
809,3.34213,-5281.3,-41.7865,-5323.08,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
810,3.23162,-5122.33,-41.7839,-5164.11,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
811,3.36295,-5317.33,-41.7966,-5359.13,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
812,3.42914,-5373.61,-41.7925,-5415.4,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
813,3.15761,-5087.74,-41.7761,-5129.52,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
814,3.44796,-5055.69,-41.8001,-5097.49,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
815,3.41842,-5038.6,-41.8045,-5080.4,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
816,3.35159,-5321.01,-41.7942,-5362.8,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
817,3.58627,-5093.17,-41.8148,-5134.99,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
818,3.22228,-5089.04,-41.7809,-5130.82,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
819,3.1518,-5238.4,-41.7781,-5280.18,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
820,2.95568,-5324.13,-41.7606,-5365.89,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
821,3.15502,-5114.71,-41.7859,-5156.49,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
822,2.93408,-5004.28,-41.7788,-5046.06,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
823,3.27468,-5280.45,-41.7819,-5322.23,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
824,3.09216,-5117.37,-41.7811,-5159.15,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
825,3.24918,-5237.27,-41.7877,-5279.06,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
826,3.0542,-5042.72,-41.7687,-5084.49,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
827,3.36674,-5099.57,-41.8019,-5141.37,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
828,3.11897,-5118.64,-41.786,-5160.42,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
829,2.48065,-4931.1,-41.7705,-4972.87,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
830,3.04192,-5000.87,-41.787,-5042.66,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
831,3.12888,-5103.4,-41.7735,-5145.17,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
832,3.13679,-5145.1,-41.7774,-5186.87,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
833,3.17258,-5051.13,-41.7838,-5092.91,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
834,3.23951,-5233.65,-41.7862,-5275.43,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
835,3.1053,-5122.95,-41.7754,-5164.72,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
836,3.19537,-5149.55,-41.7812,-5191.33,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
837,3.10994,-5041.75,-41.7727,-5083.53,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
838,2.84153,-5006.44,-41.7681,-5048.21,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
839,3.49651,-5449.25,-41.7982,-5491.04,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
840,3.44515,-5356.06,-41.7991,-5397.86,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
841,2.65005,-4930.47,-41.7887,-4972.26,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
842,3.19229,-5319.02,-41.7789,-5360.8,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
843,2.99997,-5028.5,-41.7675,-5070.27,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
844,3.3562,-5455.73,-41.784,-5497.51,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
845,3.42821,-5042.39,-41.8022,-5084.19,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
846,3.30481,-5318.31,-41.7899,-5360.1,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
847,2.96947,-5050.52,-41.7801,-5092.3,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
848,3.15942,-5233.28,-41.7813,-5275.06,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
849,2.94323,-5057.66,-41.7742,-5099.44,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
850,3.22361,-5322.47,-41.7806,-5364.25,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
851,3.2434,-5277.83,-41.7784,-5319.6,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
852,3.60871,-5452.45,-41.8086,-5494.26,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
853,3.11863,-5120.35,-41.7718,-5162.12,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
854,2.66139,-4927.08,-41.8051,-4968.89,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
855,3.49013,-5121.36,-41.8017,-5163.16,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
856,3.5172,-5274.66,-41.804,-5316.46,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
857,3.35963,-5277.13,-41.7905,-5318.92,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
858,2.62709,-4927.63,-41.779,-4969.4,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
859,3.46593,-5147.76,-41.8127,-5189.57,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
860,3.24208,-5237.63,-41.7857,-5279.42,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
861,3.2141,-5122.09,-41.7732,-5163.86,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
862,3.23812,-5233.68,-41.7893,-5275.46,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
863,3.25126,-5051.87,-41.8047,-5093.67,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
864,3.30529,-5087.22,-41.7926,-5129.01,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
865,2.99292,-5046.93,-41.7531,-5088.68,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
866,3.31361,-5085.45,-41.7959,-5127.25,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
867,3.39554,-5320.39,-41.798,-5362.19,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
868,3.00555,-5116.87,-41.7739,-5158.64,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
869,3.23278,-5122.76,-41.78,-5164.54,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
870,3.0889,-5235.41,-41.7665,-5277.18,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
871,3.20042,-5113.29,-41.7939,-5155.08,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
872,3.46235,-5107.8,-41.8056,-5149.6,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
873,3.35839,-5120.08,-41.7881,-5161.87,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
874,3.39945,-5448.02,-41.7878,-5489.81,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
875,3.40297,-5036.99,-41.7954,-5078.78,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
876,3.22332,-5120.24,-41.7951,-5162.04,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
877,3.38457,-5456.05,-41.7859,-5497.84,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
878,3.22722,-5355.77,-41.7779,-5397.55,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
879,2.44961,-4932.81,-41.7747,-4974.58,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
880,3.24655,-5027.67,-41.793,-5069.46,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
881,3.45949,-5038.98,-41.7996,-5080.78,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
882,3.38304,-5450.98,-41.7859,-5492.77,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
883,3.14433,-5027.62,-41.7826,-5069.4,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
884,3.03326,-5050.71,-41.7854,-5092.49,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
885,3.32598,-5317.44,-41.7907,-5359.23,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
886,3.36756,-5453.44,-41.7846,-5495.23,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
887,3.15492,-5051.98,-41.7779,-5093.75,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
888,3.37369,-5125.32,-41.7913,-5167.11,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
889,3.2308,-5115.14,-41.7934,-5156.94,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
890,3.34258,-5106.24,-41.8083,-5148.04,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
891,3.11349,-5104.97,-41.7761,-5146.74,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
892,3.28952,-5114.09,-41.7976,-5155.89,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
893,3.08522,-5094.33,-41.775,-5136.1,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
894,3.23222,-5100.07,-41.7878,-5141.86,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
895,2.76143,-4930.45,-41.7926,-4972.24,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
896,3.3144,-5362.65,-41.7849,-5404.43,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
897,3.04971,-5318.43,-41.7604,-5360.19,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
898,3.4212,-5362.84,-41.7944,-5404.64,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
899,2.80442,-5008.66,-41.7727,-5050.43,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
900,3.23371,-5375.63,-41.7751,-5417.4,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
901,3.11546,-5149.13,-41.7832,-5190.91,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
902,2.99784,-5004.85,-41.7843,-5046.64,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
903,3.19424,-5039.84,-41.7766,-5081.62,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
904,3.27369,-5099.32,-41.7958,-5141.12,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
905,3.0976,-5031.87,-41.7735,-5073.64,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
906,3.31167,-5120.77,-41.7912,-5162.56,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
907,3.288,-5146.8,-41.8044,-5188.6,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
908,2.60802,-4931.52,-41.782,-4973.3,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
909,2.58785,-4929.14,-41.7896,-4970.93,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
910,2.72237,-4928.84,-41.7954,-4970.63,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
911,3.10864,-5056.61,-41.7746,-5098.39,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
912,3.34419,-5102.55,-41.7973,-5144.34,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
913,3.48677,-5120.19,-41.8115,-5162,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
914,3.26097,-5235.37,-41.7874,-5277.15,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
915,3.23296,-5029.65,-41.7935,-5071.45,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
916,3.0471,-5053.76,-41.7719,-5095.54,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
917,3.02558,-5001.95,-41.7966,-5043.75,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
918,3.22457,-5356.92,-41.7764,-5398.7,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
919,3.02551,-5052.19,-41.7805,-5093.97,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
920,3.35855,-5355.19,-41.788,-5396.98,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
921,3.2387,-5098.85,-41.7908,-5140.64,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
922,3.1212,-5115.2,-41.7863,-5156.98,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
923,3.27,-5143.88,-41.7929,-5185.67,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
924,3.46316,-5359.81,-41.797,-5401.6,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
925,2.91218,-5148.58,-41.7595,-5190.34,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
926,2.97302,-5055.72,-41.7597,-5097.48,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
927,3.49996,-5040.91,-41.8078,-5082.71,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
928,3.32716,-5114.85,-41.805,-5156.66,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
929,3.39393,-5027.77,-41.8102,-5069.58,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
930,3.26902,-5277.16,-41.7806,-5318.94,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
931,3.34629,-5055.11,-41.7989,-5096.91,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
932,3.42934,-5123.06,-41.8044,-5164.86,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
933,3.18412,-5118.7,-41.7743,-5160.47,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
934,3.22988,-5052.79,-41.779,-5094.57,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
935,2.98484,-5116.44,-41.7689,-5158.21,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
